Training Time: 11:04 minutes

{'ANT': {'precision': 0.812987012987013, 'recall': 0.8694444444444445, 'f1-score': 0.840268456375839, 'support': 360}, 'HYPER': {'precision': 0.6510989010989011, 'recall': 0.6204188481675392, 'f1-score': 0.6353887399463807, 'support': 382}, 'PART_OF': {'precision': 0.6981132075471698, 'recall': 0.6607142857142857, 'f1-score': 0.6788990825688073, 'support': 224}, 'RANDOM': {'precision': 0.9553341902313625, 'recall': 0.9718862373324616, 'f1-score': 0.9635391346621294, 'support': 3059}, 'SYN': {'precision': 0.5080213903743316, 'recall': 0.40425531914893614, 'f1-score': 0.4502369668246445, 'support': 235}, 'accuracy': 0.884037558685446, 'macro avg': {'precision': 0.7251109404477555, 'recall': 0.7053438269615334, 'f1-score': 0.7136664760755602, 'support': 4260}, 'weighted avg': {'precision': 0.8778227178500885, 'recall': 0.884037558685446, 'f1-score': 0.8804132482595017, 'support': 4260}}

coach teach HYPER SYN
coach teacher HYPER SYN
coach coat RANDOM RANDOM
coach dog RANDOM RANDOM
coach performance RANDOM RANDOM
coach pit RANDOM RANDOM
coach rain RANDOM RANDOM
coach rear RANDOM RANDOM
coach ride RANDOM RANDOM
coach side RANDOM RANDOM
dance move HYPER HYPER
dance bring RANDOM RANDOM
dance human RANDOM RANDOM
dance idea RANDOM RANDOM
dance idle RANDOM RANDOM
dance lens RANDOM RANDOM
dance mark RANDOM RANDOM
dance transport RANDOM RANDOM
dance unknown RANDOM RANDOM
copy original ANT ANT
copy busy RANDOM RANDOM
copy cattle RANDOM RANDOM
copy generous RANDOM RANDOM
copy hand RANDOM RANDOM
copy join RANDOM ANT
copy joint RANDOM RANDOM
copy nose RANDOM RANDOM
copy rent RANDOM RANDOM
copy south RANDOM RANDOM
dollar coin HYPER HYPER
dollar money HYPER HYPER
dollar air RANDOM RANDOM
dollar build RANDOM RANDOM
dollar communism RANDOM RANDOM
dollar dictionary RANDOM RANDOM
dollar enjoy RANDOM RANDOM
dollar event RANDOM RANDOM
dollar illness RANDOM RANDOM
dollar player RANDOM RANDOM
sleep awake ANT ANT
sleep awaken ANT ANT
sleep wake ANT ANT
sleep relax HYPER SYN
sleep life PART_OF ANT
sleep brave RANDOM RANDOM
sleep profit RANDOM RANDOM
sleep fly RANDOM RANDOM
sleep hold RANDOM RANDOM
sleep love RANDOM RANDOM
skin surface HYPER PART_OF
skin apple PART_OF RANDOM
skin body PART_OF PART_OF
skin grape PART_OF RANDOM
skin peach PART_OF RANDOM
skin vessel RANDOM PART_OF
skin education RANDOM RANDOM
skin flat RANDOM RANDOM
skin freedom RANDOM RANDOM
skin huge RANDOM RANDOM
dish meal PART_OF HYPER
dish container HYPER HYPER
dish plate SYN HYPER
dish clergyman RANDOM RANDOM
dish darkness RANDOM RANDOM
dish farm RANDOM RANDOM
dish jail RANDOM RANDOM
dish mystery RANDOM RANDOM
dish question RANDOM RANDOM
dish tan RANDOM RANDOM
follow lead ANT ANT
follow understand HYPER RANDOM
follow tail SYN RANDOM
follow bus RANDOM RANDOM
follow chest RANDOM RANDOM
follow even RANDOM RANDOM
follow exchange RANDOM RANDOM
follow fluid RANDOM RANDOM
follow history RANDOM RANDOM
follow horn RANDOM RANDOM
hate dislike HYPER SYN
hate love ANT ANT
hate animal RANDOM RANDOM
hate article RANDOM RANDOM
hate hammer RANDOM RANDOM
hate juice RANDOM RANDOM
hate jump RANDOM RANDOM
hate race RANDOM RANDOM
hate speech RANDOM RANDOM
hate stationary RANDOM RANDOM
row fight HYPER HYPER
row argument SYN RANDOM
row attic RANDOM RANDOM
row construct RANDOM RANDOM
row enjoy RANDOM RANDOM
row entertainment RANDOM RANDOM
row face RANDOM RANDOM
row lead RANDOM RANDOM
row plastic RANDOM RANDOM
row roof RANDOM RANDOM
compact spread ANT ANT
compact car HYPER HYPER
compact big ANT ANT
compact large ANT ANT
compact compress SYN SYN
compact date RANDOM RANDOM
compact image RANDOM RANDOM
compact land RANDOM RANDOM
compact order RANDOM RANDOM
compact produce RANDOM RANDOM
everything nothing ANT ANT
everything all SYN SYN
everything dish RANDOM RANDOM
everything fly RANDOM RANDOM
everything lover RANDOM RANDOM
everything mark RANDOM RANDOM
everything pull RANDOM RANDOM
everything ram RANDOM RANDOM
everything state RANDOM RANDOM
everything text RANDOM RANDOM
father parent HYPER SYN
father family PART_OF PART_OF
father priest SYN RANDOM
father bush RANDOM RANDOM
father cube RANDOM RANDOM
father desert RANDOM RANDOM
father die RANDOM RANDOM
father element RANDOM RANDOM
father friend RANDOM ANT
father growth RANDOM RANDOM
tail animal PART_OF PART_OF
tail cat PART_OF PART_OF
tail fish PART_OF PART_OF
tail actress RANDOM RANDOM
tail dry RANDOM RANDOM
tail floor RANDOM RANDOM
tail gay RANDOM RANDOM
tail liquid RANDOM RANDOM
tail narrow RANDOM RANDOM
tail policeman RANDOM RANDOM
stable build HYPER RANDOM
stable place HYPER HYPER
stable computer RANDOM RANDOM
stable cook RANDOM RANDOM
stable corn RANDOM RANDOM
stable silent RANDOM RANDOM
stable pagan RANDOM RANDOM
stable screw RANDOM RANDOM
stable solution RANDOM RANDOM
stable trap RANDOM RANDOM
pride feel HYPER RANDOM
pride blow RANDOM RANDOM
pride commerce RANDOM RANDOM
pride fancy RANDOM RANDOM
pride follower RANDOM RANDOM
pride grain RANDOM RANDOM
pride log RANDOM RANDOM
pride nothing RANDOM RANDOM
pride order RANDOM RANDOM
pride pet RANDOM RANDOM
friendly kind SYN ANT
friendly bathroom RANDOM RANDOM
friendly democracy RANDOM RANDOM
friendly distress RANDOM RANDOM
friendly freedom RANDOM RANDOM
friendly noble RANDOM RANDOM
friendly plan RANDOM RANDOM
friendly plant RANDOM RANDOM
friendly rubbish RANDOM RANDOM
friendly wine RANDOM RANDOM
division union ANT ANT
division whole ANT ANT
division separation HYPER SYN
division split SYN SYN
division awaken RANDOM RANDOM
division blow RANDOM RANDOM
division brave RANDOM RANDOM
division house RANDOM RANDOM
division information RANDOM RANDOM
division law RANDOM RANDOM
woman human HYPER HYPER
woman male ANT ANT
woman adult HYPER HYPER
woman mankind PART_OF ANT
woman awake RANDOM RANDOM
woman chicken RANDOM RANDOM
woman collection RANDOM RANDOM
woman street RANDOM RANDOM
woman exit RANDOM RANDOM
woman relief RANDOM RANDOM
string kite PART_OF PART_OF
string cord SYN PART_OF
string chest RANDOM RANDOM
string curve RANDOM RANDOM
