Training Time: 6:13 minutes

{'Antonym': {'precision': 0.769406392694064, 'recall': 0.8120481927710843, 'f1-score': 0.7901524032825322, 'support': 415}, 'HasA': {'precision': 0.6736111111111112, 'recall': 0.6830985915492958, 'f1-score': 0.6783216783216783, 'support': 142}, 'HasProperty': {'precision': 0.8383233532934131, 'recall': 0.8695652173913043, 'f1-score': 0.8536585365853658, 'support': 322}, 'IsA': {'precision': 0.6820175438596491, 'recall': 0.6775599128540305, 'f1-score': 0.6797814207650273, 'support': 459}, 'MadeOf': {'precision': 0.7066666666666667, 'recall': 0.6162790697674418, 'f1-score': 0.6583850931677019, 'support': 86}, 'PartOf': {'precision': 0.7482014388489209, 'recall': 0.7172413793103448, 'f1-score': 0.7323943661971832, 'support': 145}, 'Synonym': {'precision': 0.5230769230769231, 'recall': 0.49097472924187724, 'f1-score': 0.5065176908752327, 'support': 277}, 'accuracy': 0.71397616468039, 'macro avg': {'precision': 0.7059004899358211, 'recall': 0.6952524418407684, 'f1-score': 0.699887312742103, 'support': 1846}, 'weighted avg': {'precision': 0.7107786851552583, 'recall': 0.71397616468039, 'f1-score': 0.7119481842248201, 'support': 1846}}

lobby wall HasA Antonym
call order IsA Synonym
keep store IsA Synonym
see view Synonym Synonym
brake pedal Antonym Synonym
lake place IsA IsA
boy female Antonym Antonym
hill crater Antonym Antonym
box hit IsA IsA
slip balance Antonym Antonym
rapid river PartOf Synonym
level tool IsA IsA
rest relax Synonym Synonym
copulate fun HasProperty HasProperty
conflict state IsA IsA
dice red HasProperty HasProperty
law theory PartOf Antonym
author artist Synonym IsA
he female Antonym Antonym
paper ink Antonym Antonym
hear sight Antonym Antonym
love important HasProperty HasProperty
song culture PartOf PartOf
club weapon IsA IsA
heterosexual person IsA IsA
fear comfortable Antonym Antonym
mate friendly Synonym HasProperty
head hammer PartOf PartOf
head table PartOf PartOf
lose tight Antonym Antonym
button tv PartOf PartOf
house basement HasA HasA
envelope letter HasA Synonym
swim relax HasProperty HasProperty
affection love Synonym Synonym
cloudy weather IsA IsA
cookie food IsA IsA
face body PartOf PartOf
leaf sheet IsA PartOf
human_body water HasProperty MadeOf
door hole Antonym IsA
rock solid HasProperty HasProperty
fish animal IsA IsA
statue stone MadeOf MadeOf
dark light Antonym Antonym
bend bow Synonym Synonym
burn destroy IsA Synonym
person lazy HasProperty HasProperty
sugar sweet HasProperty HasProperty
fiddle string HasA HasA
cloud water_vapor MadeOf IsA
keep give Antonym Antonym
cold hot Antonym Antonym
person sleep HasA Antonym
plain complicate Antonym Antonym
water surface HasA HasProperty
unhappiness sadness Synonym Synonym
shape fun HasProperty HasProperty
action play IsA IsA
man male IsA HasProperty
glass fragile HasProperty HasProperty
sport fun IsA HasProperty
fork shape IsA IsA
aluminum gray IsA HasProperty
middle side Antonym Antonym
bath water HasA MadeOf
gentle wild Antonym Antonym
alcohol rice MadeOf Antonym
baseball game IsA IsA
object sentence PartOf PartOf
rush charge Synonym Synonym
city skyscraper HasA HasA
light ignite Synonym HasProperty
happy displease Antonym Antonym
keyboard device IsA IsA
steal give Antonym Antonym
dot spot Synonym Synonym
garden yard Synonym IsA
limp relax Synonym Antonym
chain link HasA Synonym
drawer clothe HasA IsA
garbage trash Synonym Synonym
