Training Time: 38:48 minutes

{'Antonym': {'precision': 0.907928388746803, 'recall': 0.8554216867469879, 'f1-score': 0.8808933002481389, 'support': 415}, 'HasA': {'precision': 0.7171052631578947, 'recall': 0.7676056338028169, 'f1-score': 0.7414965986394557, 'support': 142}, 'HasProperty': {'precision': 0.8865030674846626, 'recall': 0.8975155279503105, 'f1-score': 0.8919753086419753, 'support': 322}, 'IsA': {'precision': 0.7454545454545455, 'recall': 0.7145969498910676, 'f1-score': 0.7296996662958843, 'support': 459}, 'MadeOf': {'precision': 0.6818181818181818, 'recall': 0.6976744186046512, 'f1-score': 0.6896551724137931, 'support': 86}, 'PartOf': {'precision': 0.7847222222222222, 'recall': 0.7793103448275862, 'f1-score': 0.7820069204152249, 'support': 145}, 'Synonym': {'precision': 0.5901639344262295, 'recall': 0.6498194945848376, 'f1-score': 0.6185567010309277, 'support': 277}, 'accuracy': 0.7768147345612134, 'macro avg': {'precision': 0.7590993719015054, 'recall': 0.7659920080583226, 'f1-score': 0.7620405239550571, 'support': 1846}, 'weighted avg': {'precision': 0.7812206654857495, 'recall': 0.7768147345612134, 'f1-score': 0.778468573832973, 'support': 1846}}

lobby wall HasA HasA
call order IsA IsA
keep store IsA Synonym
see view Synonym Synonym
brake pedal Antonym Synonym
lake place IsA IsA
boy female Antonym Antonym
hill crater Antonym Antonym
box hit IsA Synonym
slip balance Antonym IsA
rapid river PartOf IsA
level tool IsA IsA
rest relax Synonym Synonym
copulate fun HasProperty HasProperty
conflict state IsA IsA
dice red HasProperty HasProperty
law theory PartOf Antonym
author artist Synonym IsA
he female Antonym Antonym
paper ink Antonym HasA
hear sight Antonym Antonym
love important HasProperty HasProperty
song culture PartOf PartOf
club weapon IsA IsA
heterosexual person IsA IsA
fear comfortable Antonym Antonym
mate friendly Synonym HasProperty
head hammer PartOf PartOf
head table PartOf PartOf
lose tight Antonym Antonym
button tv PartOf PartOf
house basement HasA HasA
envelope letter HasA HasA
swim relax HasProperty HasProperty
affection love Synonym Synonym
cloudy weather IsA IsA
cookie food IsA IsA
face body PartOf PartOf
leaf sheet IsA IsA
human_body water HasProperty HasA
door hole Antonym HasA
rock solid HasProperty HasProperty
fish animal IsA IsA
statue stone MadeOf MadeOf
dark light Antonym Antonym
bend bow Synonym Synonym
burn destroy IsA IsA
person lazy HasProperty HasProperty
sugar sweet HasProperty Synonym
fiddle string HasA HasA
cloud water_vapor MadeOf Synonym
keep give Antonym Antonym
cold hot Antonym Antonym
person sleep HasA HasProperty
plain complicate Antonym Antonym
water surface HasA HasA
unhappiness sadness Synonym Synonym
shape fun HasProperty HasProperty
action play IsA Synonym
man male IsA HasProperty
glass fragile HasProperty HasProperty
sport fun IsA HasProperty
fork shape IsA IsA
aluminum gray IsA HasProperty
middle side Antonym IsA
bath water HasA MadeOf
gentle wild Antonym Antonym
alcohol rice MadeOf Antonym
baseball game IsA IsA
object sentence PartOf PartOf
rush charge Synonym Synonym
city skyscraper HasA HasA
light ignite Synonym Synonym
happy displease Antonym Antonym
keyboard device IsA IsA
steal give Antonym Antonym
dot spot Synonym Synonym
garden yard Synonym IsA
limp relax Synonym Synonym
chain link HasA MadeOf
drawer clothe HasA PartOf
garbage trash Synonym Synonym
string_instrument string Synonym MadeOf
boyfriend friend Synonym Antonym
mountain snow HasA HasA
